index,reactant_smiles
0,O=C1CN(Cc2cc(F)c(F)cc2F)S(=O)(=O)c2ccccc21
1,CCC1(C=O)COC(=O)N1
2,C(CCCCCCCCCCCOC1CCCCO1)=P(c1ccccc1)(c1ccccc1)c1ccccc1
3,O=Cc1cc(Br)ccc1I
4,CCOC(=O)CC(CC(=O)OCC)CC(=O)c1cccc(OC)c1
5,C=CCC/C=C/[C@@H](O[Si](C)(C)C(C)(C)C)[C@H](C)/C=C(\C)C=O
6,C[C@H](CC=O)NC(=O)OC(C)(C)C
7,C(=Cc1ccc(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1)c1ccccc1
8,COc1ccc(CN2c3ccccc3[C@]34CCN5C(=O)CC[C@](C=O)(CC[C@@H]23)[C@@H]54)cc1
9,CC(C)(C)c1cccc(-c2cccc(C(=O)c3ccccn3)c2)c1OCc1ccccc1
10,COc1ccc(CO[C@@H](C)[C@H](C)CCC=O)cc1
11,O=C(c1ccc(F)cc1)C(F)(F)F
12,C(c1ccc2ccc3ccc4ccccc4c3c2c1)=P(c1ccccc1)(c1ccccc1)c1ccccc1
13,CC(C)(C)OC(=O)N[C@H]1CCC(=O)OC1
14,CC(C)(C)[Si](OCCCCOCC(COCCCCCCCCC=O)O[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)(c1ccccc1)c1ccccc1
15,CO[C@@H]1CC(=O)C2O[C@H](c3ccccc3)OCC2O1
16,COc1ccc2c(c1)CC2=O
17,CC(=O)Nc1ccccc1C(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1
18,COCOc1ccc(C=O)cc1-c1cc(OC)c(OC)cc1[C@@H]1C[C@@H](O)C[C@H]2CCCCN21
19,O=Cc1ccc2c3ccccc3n(-c3ccccn3)c2c1
20,Cc1cc(Cl)cc2c1N(C)C(=O)C2=O
21,CC(C)(C)[Si](C)(C)OCCCC#CC=O
22,COCC#Cc1c(C=O)ccc2ccccc12
23,O=C(C1=C[C@H]2C[C@@H]3CCCC[C@@]13CC21OCCO1)c1ccccc1
24,Nc1ncnc(Cl)c1C=O
25,CN(C)CCCC=P(c1ccccc1)(c1ccccc1)c1ccccc1
26,O=C1Nc2ccc(F)cc2C1=O
27,CC(C)(C)[Si](C)(C)OCCC[C@@H]1O[C@H]1CCC=O
28,C=C[C@]1(C(=O)OC(C)(C)C)C[C@@](C=O)(COC(=O)CCC)CS1
