Unnamed: 0,reactant_type,reactant_subtype,reactant_smiles,shadow_smiles
0,carbonyl,keto,O=C1CN(Cc2cc(F)c(F)cc2F)S(=O)(=O)c2ccccc21,O=C1CN(Cc2cc(F)c(F)cc2F)S(=O)(=O)c2ccccc21
1,carbonyl,ald,CCC1(C=O)COC(=O)N1,CCC1(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)COC(=O)N1
2,alkyl,alkyl,C(CCCCCCCCCCCOC1CCCCO1)=P(c1ccccc1)(c1ccccc1)c1ccccc1,C(CCCCCCCCCCCOC1CCCCO1)=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
3,carbonyl,ald,O=Cc1cc(Br)ccc1I,Brc1ccc(I)c(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)c1
4,carbonyl,keto,CCOC(=O)CC(CC(=O)OCC)CC(=O)c1cccc(OC)c1,CCOC(=O)CC(CC(=O)OCC)CC(=O)c1cccc(OC)c1
5,carbonyl,ald,C=CCC/C=C/[C@@H](O[Si](C)(C)C(C)(C)C)[C@H](C)/C=C(\C)C=O,C=CCC/C=C/[C@@H](O[SiH3])[C@H](C)/C=C(\C)C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
6,carbonyl,ald,C[C@H](CC=O)NC(=O)OC(C)(C)C,C[C@H](CC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)NC(=O)OC(C)(C)C
7,alkyl,alkyl,C(=Cc1ccc(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1)c1ccccc1,C(=Cc1ccc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)cc1)c1ccccc1
8,carbonyl,ald,COc1ccc(CN2c3ccccc3[C@]34CCN5C(=O)CC[C@](C=O)(CC[C@@H]23)[C@@H]54)cc1,COc1ccc(CN2c3ccccc3[C@]34CCN5C(=O)CC[C@](C=P(c6ccccc6)(c6ccccc6)[Yb]6CCCCC6)(CC[C@@H]23)[C@@H]54)cc1
9,carbonyl,keto,CC(C)(C)c1cccc(-c2cccc(C(=O)c3ccccn3)c2)c1OCc1ccccc1,CC(C)(C)c1cccc(-c2cccc(C(=O)c3ccccn3)c2)c1OCc1ccccc1
10,carbonyl,ald,COc1ccc(CO[C@@H](C)[C@H](C)CCC=O)cc1,COc1ccc(CO[C@@H](C)[C@H](C)CCC=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)cc1
11,carbonyl,keto,O=C(c1ccc(F)cc1)C(F)(F)F,O=C(c1ccc(F)cc1)C(F)(F)F
12,alkyl,alkyl,C(c1ccc2ccc3ccc4ccccc4c3c2c1)=P(c1ccccc1)(c1ccccc1)c1ccccc1,C(c1ccc2ccc3ccc4ccccc4c3c2c1)=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
13,carbonyl,ester,CC(C)(C)OC(=O)N[C@H]1CCC(=O)OC1,CC(C)(C)OC(=O)N[C@H]1CCC(=O)OC1
14,carbonyl,ald,CC(C)(C)[Si](OCCCCOCC(COCCCCCCCCC=O)O[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)(c1ccccc1)c1ccccc1,CC(C)(C)[Si](OCCCCOCC(COCCCCCCCCC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)O[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)(c1ccccc1)c1ccccc1
15,carbonyl,keto,CO[C@@H]1CC(=O)C2O[C@H](c3ccccc3)OCC2O1,CO[C@@H]1CC(=O)C2O[C@H](c3ccccc3)OCC2O1
16,carbonyl,keto,COc1ccc2c(c1)CC2=O,COc1ccc2c(c1)CC2=O
17,alkyl,alkyl,CC(=O)Nc1ccccc1C(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1,CC(=O)Nc1ccccc1C(=O)C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
18,carbonyl,ald,COCOc1ccc(C=O)cc1-c1cc(OC)c(OC)cc1[C@@H]1C[C@@H](O)C[C@H]2CCCCN21,COCOc1ccc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)cc1-c1cc(OC)c(OC)cc1[C@@H]1C[C@@H](O)C[C@H]2CCCCN21
19,carbonyl,ald,O=Cc1ccc2c3ccccc3n(-c3ccccn3)c2c1,C(c1ccc2c3ccccc3n(-c3ccccn3)c2c1)=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
20,carbonyl,keto,Cc1cc(Cl)cc2c1N(C)C(=O)C2=O,Cc1cc(Cl)cc2c1N(C)C(=O)C2=O
21,carbonyl,ald,CC(C)(C)[Si](C)(C)OCCCC#CC=O,[SiH3]OCCCC#CC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
22,carbonyl,ald,COCC#Cc1c(C=O)ccc2ccccc12,COCC#Cc1c(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)ccc2ccccc12
23,carbonyl,keto,O=C(C1=C[C@H]2C[C@@H]3CCCC[C@@]13CC21OCCO1)c1ccccc1,O=C(C1=C[C@H]2C[C@@H]3CCCC[C@@]13CC21OCCO1)c1ccccc1
24,carbonyl,ald,Nc1ncnc(Cl)c1C=O,Nc1ncnc(Cl)c1C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
25,alkyl,alkyl,CN(C)CCCC=P(c1ccccc1)(c1ccccc1)c1ccccc1,CN(C)CCCC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
26,carbonyl,keto,O=C1Nc2ccc(F)cc2C1=O,O=C1Nc2ccc(F)cc2C1=O
27,carbonyl,ald,CC(C)(C)[Si](C)(C)OCCC[C@@H]1O[C@H]1CCC=O,[SiH3]OCCC[C@@H]1O[C@H]1CCC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
28,carbonyl,ald,C=C[C@]1(C(=O)OC(C)(C)C)C[C@@](C=O)(COC(=O)CCC)CS1,C=C[C@]1(C(=O)OC(C)(C)C)C[C@@](C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)(COC(=O)CCC)CS1
29,carbonyl,ald,N#Cc1ccc(C#Cc2ccc(C=O)cc2)cc1,N#Cc1ccc(C#Cc2ccc(C=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)cc2)cc1
30,carbonyl,ald,CC/C=C/C=O,CC/C=C/C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
31,carbonyl,keto,COc1ccc(N2CCC(=O)c3cc(Cl)cc(Br)c32)cc1,COc1ccc(N2CCC(=O)c3cc(Cl)cc(Br)c32)cc1
